Offering,Nodes,Edges,Weighted In Degree,Weighted Out Degree,Weighted Degree,Density,Active Participants,Size of largest strongly connected component,Size of largest weakly connected component
WINTER12,214,200,535,535,1070,0.004387696897898293,65,9,65
WINTER13,157,140,356,356,712,0.0057161522129675,55,6,55
WINTER14,140,61,85,85,170,0.0031346351490236382,37,1,35
WINTER15,117,86,135,135,270,0.006336575302092543,43,5,43
WINTER16,136,105,297,297,594,0.005718954248366013,49,3,49
