Offering,Nodes,Edges,Weighted In Degree,Weighted Out Degree,Weighted Degree,Density,Active Participants,Size of largest strongly connected component,Size of largest weakly connected component
FALL11,35,17,19,19,38,0.014285714285714285,15,1,15
FALL13,37,45,99,99,198,0.033783783783783786,16,8,16
