Course,Nodes,Edges,Avg In Degree,Avg Out Degree,Avg Degree,Avg Weighted Degree,Density,Largest Strongly Connected Component,Largest Weakly Connected Component,Average Betweenness Centrality,Average Closeness Centrality,Average Degree Centrality,Average Eigenvector Centrality,Average Clustering Coefficient,Average Hub Score,Average Authority Score,Max Pagerank
FALL11,59,84,1.423728813559322,1.423728813559322,2.847457627118644,8.40677966101695,0.024547048509643482,12,29,0.004521824725460643,0.04251136820233593,0.049094097019286985,0.04694048383591058,0.13496851547699004,0.18353365105516323,0,
FALL12,120,195,1.625,1.625,3.25,8.8,0.01365546218487395,16,62,0.0013281583819968665,0.03411718777948939,0.027310924369747896,0.02865297950598422,0.21652200175026254,0.14487928126466948,0,
SPRING16,208,1018,4.894230769230769,4.894230769230769,9.788461538461538,35.78846153846154,0.023643626904496468,93,150,0.002415007955320324,0.1420466943104814,0.04728725380899293,0.022893936146064078,0.30142787386639036,0.05414268295311321,0,
WINTER14,152,601,3.9539473684210527,3.9539473684210527,7.907894736842105,21.289473684210527,0.026185081910073196,63,100,0.003032415475775531,0.1154574988531384,0.052370163820146365,0.0333624629572114,0.25001698785265036,0.07047698311803392,0,
WINTER15,180,702,3.9,3.9,7.8,18.211111111111112,0.021787709497206705,87,125,0.0037447952629046082,0.12278264376096043,0.04357541899441344,0.027854777664865254,0.28020316856076866,0.056145740450855054,0,
