Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,0.0,1.0,0.5,0.0012714560591909041
2,16.0,94.5,18.0,0.004187028361189066
3,19.5,150.5,82.5,0.00241043416899797
4,60.0,185.5,116.0,0.007383276368783529
5,60.5,202.5,135.5,0.006686821988235571
6,66.0,215.0,164.0,0.005460852647320567
7,66.0,234.5,184.5,0.004902711366628939
8,66.0,243.0,205.0,0.004379176165306986
9,69.0,254.5,233.0,0.0044006494359725475
10,69.0,261.5,240.5,0.004280311791717276
11,79.0,283.0,278.0,0.005457926974867952
12,117.0,303.5,352.0,0.008388061055978242
13,117.0,336.0,391.5,0.008010118457499167
14,623.0,6410.0,5180.5,0.00772490316828745
