Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,0.013157894736842105,0.0,0.013157894736842105,0.0013316809193246381
2,6.7368421052631575,2.3026315789473686,9.06578947368421,0.005478151755720595
3,12.0,5.5394736842105265,17.42105263157895,0.005588738892689889
4,19.723684210526315,11.013157894736842,30.55263157894737,0.00658393992617357
5,25.289473684210527,14.407894736842104,39.11842105263158,0.007088258402213599
6,31.526315789473685,18.776315789473685,49.31578947368421,0.007021522084785884
7,36.56578947368421,22.55263157894737,57.35526315789474,0.007048596731015847
8,43.05263157894737,27.67105263157895,68.09210526315789,0.007719706402863562
9,45.921052631578945,30.06578947368421,73.03947368421052,0.007805863541411589
10,48.526315789473685,32.48684210526316,77.69736842105263,0.00787893333851693
11,50.6578947368421,34.23684210526316,81.40789473684211,0.00779095482226361
12,53.31578947368421,36.39473684210526,85.84210526315789,0.0077741221689227894
13,55.28947368421053,37.828947368421055,89.15789473684211,0.007966075694506278
