Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,0.0,1.0,1.0,0.006963785256143276
2,0.0,2.0,2.0,0.0061405076461164285
3,0.0,11.0,11.0,0.005954862831121926
4,0.0,12.0,12.0,0.004734369906500344
5,0.0,13.0,13.0,0.004550203857930227
6,0.0,13.0,13.0,0.004560416048854161
7,0.0,23.0,23.0,0.004374275660066239
8,0.0,25.0,25.0,0.004294874575762666
