Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,9,1,1,0.003102152843839541
2,3,2.5,3,0.002421470008913765
3,5,3.0,4,0.001993104694638546
4,4.5,4,4,0.0017338661497950042
5,5,4,4.5,0.0018303382405827646
6,5,4.0,7,0.0015083223367221182
7,5,5,8,0.0014588163180254575
8,8,5.5,11.5,0.0014017150679281854
9,8,6.0,12.0,0.0014032830035949205
10,8.0,6,12,0.001403428264957013
11,8,6.0,12.0,0.0013864601882280186
12,8,6.0,12.0,0.0013864662001520896
