Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,3.4166666666666665,2.4166666666666665,5.333333333333333,0.034110356450947156
2,10.666666666666666,8.416666666666666,17.833333333333332,0.04464740837017061
3,14.25,11.75,24.75,0.04290910539029607
4,21.75,16.583333333333332,37.25,0.04698051504967476
5,31.166666666666668,21.5,50.583333333333336,0.047055483928088004
6,37.416666666666664,25.833333333333332,60.666666666666664,0.04959531154241429
7,53.75,37.583333333333336,88.75,0.050753446093541876
8,55.25,40.083333333333336,92.66666666666667,0.04830186709729315
9,59.833333333333336,43.5,100.41666666666667,0.04828497220635831
10,61.0,44.666666666666664,102.58333333333333,0.046708612581371704
11,61.5,46.083333333333336,104.08333333333333,0.050121947194374065
12,61.5,46.166666666666664,104.08333333333333,0.05011692639428337
