Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,1.0,46.5,47.5,0.0014220057782391596
2,66.5,76.5,143.0,0.0009220231344424377
3,66.5,95.0,164.5,0.0036753957328369397
4,161.0,103.5,174.5,0.056207565542643896
5,172.5,134.0,214.0,0.040930943146292795
6,180.5,235.0,357.0,0.03749488416770143
7,189.5,395.0,525.5,0.029502547441910915
8,212.0,444.5,602.5,0.026156027831260562
9,212.5,469.5,628.5,0.02547436493857213
10,213.0,480.5,640.0,0.02836496734716001
11,213.5,482.5,642.0,0.027766927153222248
12,222.0,498.5,666.5,0.026949221346403422
