Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,14.6,9.0,20.8,0.009591013079941094
2,18.2,12.4,27.1,0.008823013037522111
3,30.1,20.9,47.6,0.009817886662252914
4,38.3,31.9,66.3,0.012481646990546732
5,45.5,41.3,85.3,0.01761359884264848
6,57.6,49.9,109.0,0.01663463931082983
7,82.6,63.9,144.1,0.016850291211246177
8,99.3,72.2,165.9,0.0187960713569565
9,107.5,82.9,181.8,0.02260560120923661
10,110.8,85.1,187.5,0.022691458281432497
11,112.1,85.8,189.5,0.02294009691790147
12,114.0,86.7,192.3,0.022985186189891135
