Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,0.0,11.0,11.0,0.0007706788722876612
2,28.5,30.0,30.0,0.004805021340837666
3,28.5,62.0,63.5,0.0027140439182011936
4,28.5,115.0,116.5,0.002919679892887697
5,36.0,193.0,202.0,0.004515368461613016
6,37.0,228.0,237.0,0.0035822879991072726
7,48.0,270.0,288.5,0.003689777093412517
8,56.5,318.5,345.5,0.004253507357693621
9,58.5,344.5,373.5,0.004182076638083396
10,1.5,35.5,36.0,0.0019019751932330465
11,66.0,403.5,440.0,0.005589210244572876
12,66.0,419.0,455.5,0.0054002821376842244
13,66.0,420.5,457.0,0.005349107608897068
