Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,3.5714285714285716,3.0,6.558441558441558,0.005188755281559247
2,5.636363636363637,4.558441558441558,10.025974025974026,0.005329135445597951
3,11.2987012987013,7.623376623376624,18.441558441558442,0.005753093916825037
4,15.35064935064935,10.363636363636363,25.07792207792208,0.006289471897228455
5,21.558441558441558,14.545454545454545,35.05194805194805,0.0066071690026036755
6,25.649350649350648,17.025974025974026,41.37662337662338,0.006988949234180022
7,30.857142857142858,20.4025974025974,49.98701298701299,0.007454843371868557
8,34.5974025974026,22.506493506493506,55.688311688311686,0.0074604167328330305
9,37.55844155844156,24.675324675324674,60.8051948051948,0.007484126974729676
10,39.81818181818182,26.454545454545453,64.45454545454545,0.0077745465402958005
11,42.90909090909091,28.792207792207794,69.59740259740259,0.00791376319285022
12,43.61038961038961,29.350649350649352,70.85714285714286,0.008112343800043156
13,43.688311688311686,29.376623376623378,70.96103896103897,0.008122742284765389
