Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,43.5,29.0,29.0,0.0010731598638379287
2,43.5,55.5,57.0,0.0015240333321093428
3,43.5,73.5,85.5,0.0016619502611045793
4,43.5,97.0,114.5,0.0018221607984551592
5,43.5,120.0,138.5,0.005447205529159352
6,46.0,155.0,185.5,0.0048039841578543805
7,46.0,175.0,208.5,0.004189095683359381
8,62.0,204.0,241.5,0.007596126266018133
9,62.0,215.0,252.5,0.006598427573845616
10,81.5,227.0,264.5,0.008556435972589229
11,81.5,239.5,277.0,0.007639055967401708
12,89.0,239.5,277.0,0.00912909382454201
13,89.0,239.5,277.0,0.009129256340831792
