Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,0.0,0.0,0.0,0.0033719142928741548
2,2.1,0.8,2.8,0.014990658820278283
3,22.5,9.2,27.7,0.02051458574955424
4,44.8,16.8,56.4,0.03321035602099125
5,69.7,29.0,91.8,0.03687545908366312
6,83.4,39.3,115.1,0.03309118857671346
7,107.1,51.2,156.2,0.03484758363280434
8,124.6,61.3,182.9,0.033140416760491065
9,140.4,73.2,209.0,0.03249150470543338
10,147.1,75.8,218.9,0.03186178046819544
11,153.5,77.4,227.5,0.031229238292914168
12,155.1,79.0,230.9,0.030508763542277606
13,155.1,79.0,230.9,0.029466148286975823
