Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,2.5,1,3.0,0.0033719142928741548
2,3,1,3,0.0017395086045470147
3,4.0,1.5,4.0,0.0010411918698501011
4,5.0,2,5,0.0008126307515665485
5,5.0,3,7,0.0006470000620959624
6,7,4.0,9.0,0.0006169726559739061
7,8.0,4.0,10.0,0.0006230506811253577
8,8,4,10.0,0.0006309502769846717
9,8,4,11,0.0006802221541486052
10,9,5.0,13,0.0006939048877911236
11,9.0,5.0,13.5,0.0006989866610609121
12,9.0,5,13,0.0007447156083292808
13,9.0,5,13,0.0007468863826787543
