Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,-10,-10,-10,-10
2,2.0,1,1.5,0.00980318050346285
3,2.0,1,1.5,0.010176807891406113
4,1.0,1,1.0,0.008973268894739784
5,3,1.0,2,0.010314801530966713
6,3,1.0,3,0.007218468582558731
