Offering,Nodes,Edges,Weighted In Degree,Weighted Out Degree,Weighted Degree,Density,Active Participants,Size of largest strongly connected component,Size of largest weakly connected component
FALL11,27,18,42,42,84,0.02564102564102564,9,3,9
FALL13,27,10,16,16,32,0.014245014245014245,8,1,7
FALL14,28,20,55,55,110,0.026455026455026454,11,3,11
FALL15,22,7,12,12,24,0.015151515151515152,5,2,3
FALL16,20,24,57,57,114,0.06315789473684211,11,1,11
