Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,0.0,15.0,15.0,0.0011963318434720694
2,103.0,49.0,152.0,0.04945658417246406
3,109.0,65.0,174.0,0.03561705621927285
4,109.0,77.0,186.0,0.02348184367037988
5,123.0,94.0,217.0,0.015015393745317135
6,146.0,121.0,267.0,0.020145067609908102
7,177.0,140.0,317.0,0.030232924063119872
8,181.0,151.0,332.0,0.028723144422879307
9,182.0,154.0,336.0,0.028825442818077886
10,182.0,156.0,338.0,0.028665647989793867
11,190.0,167.0,357.0,0.02820576390588076
12,221.0,188.0,409.0,0.03458928782585143
