Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,0.0,0.0,0.0,0.0009806430525304579
2,0.0,0.0,0.0,0.0007789464397196323
3,0.0,0.0,0.0,0.0006053928732236628
4,0.0,0.0,0.0,0.0004627538233102274
5,0.0,0.0,1.0,0.0004244960209310592
6,0.0,0.0,1.0,0.00041084639309869105
7,0.0,1.0,2.0,0.0003795846205718607
8,0.0,1.0,2.0,0.00036053096267822714
9,1.0,1.0,3.0,0.000347312095187555
10,1.0,1.0,3.0,0.0003453000080112067
11,1.0,1.0,3.0,0.0003496286043326326
12,1.0,2.0,3.0,0.00035425303853612336
