Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,0.5,0.21428571428571427,0.7142857142857143,0.012594120681745813
2,1.1428571428571428,0.6428571428571429,1.7857142857142858,0.015727651884607806
3,2.0714285714285716,1.0,2.7857142857142856,0.018704194278494353
4,4.642857142857143,2.142857142857143,6.571428571428571,0.032981971238756
5,5.0,2.357142857142857,7.071428571428571,0.033025708899952946
6,5.5,2.5,7.714285714285714,0.0329766918223307
7,6.714285714285714,2.9285714285714284,9.357142857142858,0.03744250566461387
8,8.214285714285714,3.4285714285714284,11.357142857142858,0.03936465402070554
