Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,1,1.0,1,0.0007249432504579847
2,1.5,1.0,1.0,0.0006591047679916009
3,2.0,1.0,1.5,0.0005899586836804219
4,2.0,1.0,2,0.0004675854776946663
5,2,1.0,2.0,0.00042969255354785547
6,2.0,1.0,2.0,0.00040987236817649134
7,2,1,2.0,0.00039527013166379285
8,2,2,2,0.0003698421214205686
9,2.0,2,2.0,0.00035774329302911296
10,2,2.0,3,0.0003493397171435465
11,3,2,3.0,0.000334090746979799
12,3.0,2.0,3,0.00031855157959605174
13,3,2.0,3.0,0.000318091371383211
