Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,1.0,0.6,0.6,0.008973323535618359
2,1.9,1.9,2.4,0.007119004060837148
3,12.9,7.4,18.1,0.009274890763739243
4,20.5,15.3,33.5,0.007326072058728024
5,24.4,16.4,38.0,0.007103199887241519
6,31.8,20.5,49.2,0.008392701796661548
7,37.2,24.0,58.3,0.008947859287439606
8,49.4,40.3,86.0,0.011419467121683315
9,52.8,45.0,93.9,0.013145876346130281
10,57.1,49.0,102.7,0.012380606538229708
11,63.3,52.4,112.9,0.0163147662235046
12,64.3,53.0,114.5,0.019773039824328077
13,64.4,53.0,114.6,0.01960417142144607
