Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,2.5,6.0,4.0,0.014733466008677431
2,7.0,12.5,15.0,0.02246132609580519
3,10.0,34.5,38.5,0.014019414249373916
4,11.0,51.5,48.5,0.016414898053638133
5,29.0,78.0,99.5,0.028122406146721457
6,35.5,86.5,116.0,0.024425921414712105
7,37.0,91.0,123.5,0.02027305071264735
8,37.5,97.0,132.5,0.020487782106036877
9,39.0,108.5,145.0,0.020528503168755784
10,40.0,109.5,147.0,0.0193293898377718
11,454.5,473.0,962.0,0.06992250796173055
