Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,1.7,0.9,2.4,0.013757036422590237
2,4.6,2.0,5.6,0.015755426878105792
3,5.0,2.1,6.1,0.01573534290829994
4,5.0,2.1,6.1,0.01573728606149182
5,6.8,2.8,8.3,0.014421623869855838
6,9.5,5.2,14.8,0.016645417684622348
7,9.5,6.0,15.5,0.01566834490508496
8,9.8,6.2,16.0,0.015508072225123178
9,10.0,6.9,16.9,0.01757325522451842
10,10.3,7.2,17.5,0.018039988158004908
11,10.3,8.5,18.3,0.027451749545449745
12,16.3,12.7,27.5,0.026642374569998774
13,16.7,13.0,28.2,0.02556204104098091
14,18.2,13.2,30.1,0.02518594669622125
15,21.9,16.2,36.0,0.024665340773019396
16,24.7,17.0,39.4,0.024875482700970376
17,24.7,17.0,39.4,0.024862200967021127
18,24.7,17.0,39.4,0.024852057324983322
19,25.6,17.8,40.9,0.02461257554435193
