Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,0.0,0.0,0.0,0.0019055656364552764
2,0.0,0.0,0.0,0.001482632913788419
3,0.0,0.0,0.0,0.0014824683533117677
4,0.0,0.0,0.0,0.0014826734013228303
5,0.0,0.0,0.0,0.001325559276162095
6,0.0,0.0,0.0,0.0011822479415502323
7,0.0,0.0,0.0,0.0011908134340638122
8,0.0,0.0,0.0,0.001180383918680391
9,0.0,0.0,0.0,0.0010745765694349717
10,0.0,0.0,0.0,0.0010842441300518073
11,0.0,0.0,0.0,0.000985667858394861
12,0.0,0.0,0.0,0.0008621803048407724
13,0.0,0.0,0.0,0.0008486057949329449
14,0.0,0.0,0.0,0.0008361368949951682
15,0.0,0.0,0.0,0.0008495171700081748
16,0.0,0.0,0.0,0.0008537182419800051
17,0.0,0.0,0.0,0.0008537244665749175
18,0.0,0.0,0.0,0.0008554934441191923
19,0.0,0.0,0.0,0.0008560158430791567
