Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,0.0,4.0,4.0,0.0018397419998994378
2,0.0,8.0,8.0,0.0014211120091830259
3,0.0,11.0,11.0,0.0014213569024326138
4,0.0,12.0,12.0,0.0014216424976534847
5,2.0,21.0,23.0,0.0017089585968048334
6,3.0,40.0,42.0,0.0015776515463580732
7,3.0,42.0,44.0,0.0015996925064737338
8,3.0,42.0,44.0,0.0015864006884254423
9,3.0,45.0,47.0,0.0014504576388392999
10,6.0,49.0,53.0,0.0027016555759887136
11,6.0,54.0,58.0,0.002434315099713305
12,6.0,71.0,75.0,0.001964495544137484
13,6.0,71.0,75.0,0.0019180975855667332
14,6.0,71.0,75.0,0.0018519516518957489
15,11.0,83.0,87.0,0.0024066142077696752
16,11.0,86.0,90.0,0.002376200010507969
17,11.0,86.0,90.0,0.002374272548157451
18,11.0,86.0,90.0,0.0023736905687256195
19,11.0,88.0,92.0,0.0023654277431833823
