Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,2.0,1,2,0.002118860729602451
2,3,2.0,3,0.0012796402839956303
3,3,2.0,4,0.0010667376706203493
4,5,3.0,7.0,0.0009386016873637843
5,8,4.0,10.0,0.0008760981742412662
6,10,5.0,12,0.0008443270999019177
7,10,6.0,12.5,0.0008869005862363447
8,11,6.0,14.5,0.000916353751606669
9,11,6.0,15,0.0009829373496247171
10,11.0,6.5,15,0.001108632255781688
11,11,6.5,15.0,0.0010736505307918616
