Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,1.0,31.0,32.0,0.04721857666461596
2,1.0,46.0,47.0,0.0262564679717165
3,4.0,61.0,65.0,0.01476865138183634
4,6.0,80.0,86.0,0.018257888600435507
5,9.0,103.0,112.0,0.013577993174641608
6,27.0,143.0,170.0,0.013687848100508753
7,27.0,186.0,213.0,0.013187129115128055
8,40.0,253.0,293.0,0.01237454302497959
9,41.0,271.0,312.0,0.01605539991982759
10,57.0,299.0,356.0,0.01640104176309528
11,64.0,313.0,377.0,0.020628852305575446
