Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,0.0,0.0,0.0,0.005208333333333346
2,0.0,2.0,2.0,0.0026654631090324175
3,6.0,11.0,17.0,0.012178600866368973
4,21.0,44.0,65.0,0.013102629163722332
5,21.0,55.0,76.0,0.012317597119807788
6,24.0,62.0,86.0,0.009289752170108287
7,34.0,91.0,125.0,0.013177675672571646
8,61.0,117.0,178.0,0.033204195993504326
9,61.0,124.0,185.0,0.03224160865058186
10,61.0,124.0,185.0,0.03232113409360164
11,61.0,133.0,194.0,0.033409191426330316
12,61.0,133.0,194.0,0.03309396536375165
