Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,0.20689655172413793,5.655172413793103,4.793103448275862,0.0035864217993631835
2,5.068965517241379,16.017241379310345,19.17241379310345,0.006170800851536727
3,8.155172413793103,18.93103448275862,25.051724137931036,0.0069694373825886415
4,10.39655172413793,22.189655172413794,30.189655172413794,0.007223250121719727
5,10.775862068965518,22.93103448275862,31.43103448275862,0.007136297730710501
6,11.241379310344827,23.448275862068964,32.36206896551724,0.0072116422125839035
7,11.758620689655173,23.689655172413794,33.01724137931034,0.007238273777791341
8,12.310344827586206,23.844827586206897,33.46551724137931,0.007261767103703427
9,12.431034482758621,23.862068965517242,33.60344827586207,0.007069700052027711
10,12.517241379310345,23.896551724137932,33.689655172413794,0.007072225514141767
