Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,2,1,1,0.00416224345335662
2,2,2,2,0.0033398252915071854
3,2.0,2,3.0,0.0031396384188753096
4,2.5,1,3,0.0025901611424922885
5,3,2,3,0.0025040073182875226
6,3,2,4,0.0024459797194064607
7,4.0,2.0,4,0.002075813708007629
8,4.0,2.0,4,0.002073957752318741
9,4,2.0,4,0.0019006277861350492
10,12,11,21,0.0014005602240896372
11,12,11,21,0.0014005602240896372
