Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,2.2777777777777777,0.9444444444444444,3.0555555555555554,0.018956373966893217
2,4.0,1.6111111111111112,5.5,0.026351986645242687
3,9.166666666666666,3.7777777777777777,13.11111111111111,0.02990971753106679
4,12.333333333333334,5.833333333333333,18.38888888888889,0.027569974671942252
5,17.555555555555557,8.833333333333334,26.61111111111111,0.02418493530086736
6,19.833333333333332,10.222222222222221,30.555555555555557,0.026025466602900792
7,25.166666666666668,12.666666666666666,38.27777777777778,0.027478788090849127
8,33.0,17.88888888888889,50.5,0.029248962905852383
9,38.77777777777778,22.88888888888889,61.0,0.030590904590490145
10,40.27777777777778,23.88888888888889,63.333333333333336,0.02883904814015573
