Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,0.0,0.0,0.0,0.0008473616884336438
2,0.0,0.0,0.0,0.0006568835242687725
3,0.0,0.0,0.0,0.0005709799206304704
4,0.0,0.0,0.0,0.0004366960838182879
5,0.0,0.0,0.0,0.0003802981257989775
6,0.0,0.0,0.0,0.00031370204775322446
7,0.0,0.0,0.0,0.00028907784968353886
8,0.0,0.0,1.0,0.0002612581190679917
9,0.0,0.0,1.0,0.0002538765421048752
10,0.0,0.0,1.0,0.00024325190227044536
11,0.0,0.0,1.0,0.00023637587235159223
12,0.0,0.0,1.0,0.00022355445628799097
