Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,2,1,1.5,0.0040304776816896684
2,2,1.0,2.0,0.0036591440866987073
3,1.5,1,2,0.003721861845675253
4,2,1,2.0,0.003686571884239689
5,2.0,1,2.5,0.003164804787036431
6,2.0,1.0,2,0.003148209386750257
7,2.0,1.0,2,0.0031843527267599358
8,2,1.0,3,0.0027881638725660842
