Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,0.3,0.3,0.6,0.04764783758340108
2,0.3,0.3,0.6,0.04764783758340108
3,1.8,1.0,2.8,0.078964349615222
4,2.5,1.1,3.6,0.08050885231644472
5,3.1,1.3,4.4,0.08798723084070613
6,4.2,1.9,6.1,0.08834988910125637
7,9.9,9.4,21.9,0.04916109064766809
