Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,4.0,5.0,6.0,0.136107595059143
2,4.0,5.0,6.0,0.136107595059143
3,4.0,11.0,12.0,0.05191652460772142
4,5.0,15.0,16.0,0.05508138828398586
5,5.0,16.0,17.0,0.031997960250250077
6,5.0,18.0,19.0,0.030174104674709476
7,74.0,128.0,266.0,0.08547588790887412
