Course,Nodes,Edges,Avg In Degree,Avg Out Degree,Avg Degree,Avg Weighted Degree,Density,Largest Strongly Connected Component,Largest Weakly Connected Component,Average Betweenness Centrality,Average Closeness Centrality,Average Degree Centrality,Average Eigenvector Centrality,Average Clustering Coefficient,Average Hub Score,Average Authority Score,Max Pagerank
FALL11,356,599,1.6825842696629214,1.6825842696629214,3.365168539325843,6.926966292134831,0.004739673999050483,60,164,0.0005650164556181116,0.025715455142419994,0.009479347998100959,0.009766087327856885,0.08843159012800614,0.07560911622699733,0,
FALL12,581,1306,2.2478485370051633,2.2478485370051633,4.495697074010327,9.166953528399311,0.0038756009258709718,120,282,0.00041077554558313406,0.03735294982227822,0.007751201851741942,0.0055529772061219335,0.12876959616553668,0.04289556232088477,0,
FALL13,776,1823,2.3492268041237114,2.3492268041237114,4.698453608247423,11.981958762886597,0.003031260392417692,158,375,0.0003329612471846485,0.03535409662357971,0.006062520784835387,0.0021905200978178073,0.11692933627580432,0.03748645988587364,0,
FALL14,820,1943,2.3695121951219513,2.3695121951219513,4.739024390243903,8.804878048780488,0.002893177283421186,168,446,0.00043312267803889264,0.03476150693774915,0.005786354566842362,0.0013359759282688516,0.09444986525011699,0.049433352945152054,0,
FALL15,827,2413,2.917775090689238,2.917775090689238,5.835550181378476,13.429262394195888,0.0035324153640305545,219,489,0.0004406050367561237,0.056225854944478036,0.007064830728061095,0.004904277792333602,0.15563013571679007,0.04164042757471704,0,
FALL16,803,1510,1.8804483188044832,1.8804483188044832,3.7608966376089663,7.820672478206725,0.002344698651875914,153,386,0.00032362583388435715,0.032425714804335294,0.004689397303751818,0.0033674628302363535,0.08711902946675103,0.037473037588688626,0,
SPRING16,331,657,1.9848942598187311,1.9848942598187311,3.9697885196374623,9.353474320241691,0.006014831090359792,65,187,0.0008540301591661109,0.04283616642954212,0.012029662180719578,0.015174994549834474,0.16453629398877503,0.04681432020469969,0,
