Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,4.666666666666667,0.6666666666666666,5.333333333333333,0.038902755783938946
2,4.666666666666667,0.6666666666666666,5.333333333333333,0.039394753453868614
3,9.0,1.3333333333333333,10.333333333333334,0.20034427831968982
4,13.0,2.3333333333333335,15.333333333333334,0.21781204128225287
5,13.0,2.6666666666666665,15.666666666666666,0.21477847805603048
6,15.666666666666666,5.0,20.666666666666668,0.21848892546691223
7,15.666666666666666,5.0,20.666666666666668,0.21781821326447734
8,15.666666666666666,5.0,20.666666666666668,0.21994280522323129
9,15.666666666666666,5.0,20.666666666666668,0.21682819297413625
