Offering,Nodes,Edges,Weighted In Degree,Weighted Out Degree,Weighted Degree,Density,Active Participants,Size of largest strongly connected component,Size of largest weakly connected component
FALL15,11,8,29,29,58,0.07272727272727272,5,1,5
FALL16,21,47,62,62,124,0.11190476190476191,21,5,20
